pairs,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24,2009-07-08
10-66,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-68,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-69,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-70,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-71,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-72,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-73,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-76,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-78,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-79,,,,,,,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
10-8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-80,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10-81,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-82,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-83,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-84,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10-9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11-16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11-18,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11-19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11-20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11-21,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11-24,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11-25,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11-27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11-28,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11-3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11-31,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5
11-33,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11-34,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11-4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11-42,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11-47,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11-49,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11-51,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5
11-52,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11-55,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11-56,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2
11-57,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
