"user_id","time","incoming","dest_user_id","dest.phone.hash"5,2008-04-04 19:23:15,1,,"2297345650"
60,2009-06-01 09:15:59,1,,"1833226434"
60,2009-06-01 09:17:00,1,,"1833226434"
67,2009-06-01 09:57:54,0,,"3777162726"
67,2009-06-01 09:58:59,1,,"3777162726"
67,2009-06-01 09:59:46,0,,"3777162726"
67,2009-06-01 10:07:00,1,,"3777162726"
67,2009-06-01 10:08:24,0,,"3777162726"
60,2009-06-01 10:11:54,0,,"1833226434"
60,2009-06-01 10:18:25,0,,"1833226434"
67,2009-06-01 10:33:18,0,,"3886632797"
67,2009-06-01 10:56:18,1,,"3920954979"
67,2009-06-01 11:10:47,0,,"3920954979"
67,2009-06-01 11:11:29,1,,"3920954979"
67,2009-06-01 12:22:53,1,,"3777162726"
67,2009-06-01 12:24:36,0,,"3777162726"
67,2009-06-01 12:26:27,1,,"3788993615"
67,2009-06-01 14:20:45,1,,"3777162726"
67,2009-06-01 17:38:12,1,,"3920954979"
67,2009-06-01 17:39:00,0,,"3920954979"
67,2009-06-01 18:11:50,0,,"3920954979"
67,2009-06-01 18:13:35,1,,"3920954979"
67,2009-06-01 18:14:31,1,,"3920954979"
67,2009-06-01 18:16:50,0,,"3920954979"
67,2009-06-01 18:17:50,1,,"3920954979"
61,2009-06-01 20:33:38,1,,"1712573256"
67,2009-06-02 10:41:00,0,,"3117739292"
67,2009-06-02 10:44:49,0,,"3777162726"
67,2009-06-02 10:46:12,1,,"3777162726"
62,2009-06-02 10:52:01,1,,"177622"
67,2009-06-02 11:30:47,1,,"3777162726"
67,2009-06-02 11:39:08,0,,"3886632797"
61,2009-06-02 11:43:02,1,,"1971731717"
15,2009-06-02 11:54:49,1,,"4131782371"
61,2009-06-02 12:29:15,0,,"1712573256"
67,2009-06-02 13:04:13,1,,"3117739292"
67,2009-06-02 13:05:41,0,,"3117739292"
67,2009-06-02 13:07:05,1,,"3117739292"
67,2009-06-02 13:33:08,0,,"3117739292"
