"user.id","remote.user.id.if.known","time","prob2"
58,42,2007-09-05 14:02:11,0.034
58,49,2007-09-05 14:02:11,0
58,54,2007-09-05 14:02:11,
58,57,2007-09-05 14:02:11,0.233
58,74,2007-09-05 14:02:11,
58,76,2007-09-05 14:02:11,
58,2,2007-09-05 14:07:22,0.2
58,14,2007-09-05 14:07:22,0.1
58,42,2007-09-05 14:07:22,0.034
58,46,2007-09-05 14:07:22,0
58,49,2007-09-05 14:07:22,0
58,57,2007-09-05 14:07:22,0.233
58,59,2007-09-05 14:07:22,0
58,70,2007-09-05 14:07:22,0.34
58,71,2007-09-05 14:07:22,0.094
58,74,2007-09-05 14:07:22,
58,76,2007-09-05 14:07:22,
58,14,2007-09-05 14:12:33,0.1
58,49,2007-09-05 14:12:33,0
58,54,2007-09-05 14:12:33,
58,59,2007-09-05 14:12:33,0
58,74,2007-09-05 14:12:33,
58,76,2007-09-05 14:12:33,
5,6,2008-01-09 21:02:56,0.225
5,8,2008-01-09 21:02:56,0.165
5,14,2008-01-09 21:02:56,0.218
5,19,2008-01-09 21:02:56,0.038
5,28,2008-01-09 21:02:56,0.218
5,29,2008-01-09 21:02:56,0.064
5,30,2008-01-09 21:02:56,0.378
5,37,2008-01-09 21:02:56,
5,42,2008-01-09 21:02:56,0.368
5,44,2008-01-09 21:02:56,0.207
5,47,2008-01-09 21:02:56,0.371
5,49,2008-01-09 21:02:56,0.009
5,61,2008-01-09 21:02:56,0.221
5,62,2008-01-09 21:02:56,0.081
5,65,2008-01-09 21:02:56,0.047
5,66,2008-01-09 21:02:56,0.14
5,67,2008-01-09 21:02:56,0.14
5,74,2008-01-09 21:02:56,
5,76,2008-01-09 21:02:56,0.2
35,6,2008-01-21 06:46:40,0.125
35,51,2008-01-21 06:46:40,0.562
35,55,2008-01-21 06:46:40,
35,60,2008-01-21 06:46:40,0.557
35,63,2008-01-21 06:46:40,
12,30,2008-01-21 10:03:46,0.125
12,51,2008-01-21 10:03:46,
12,55,2008-01-21 10:03:46,0.273
12,60,2008-01-21 10:03:46,
12,63,2008-01-21 10:03:46,
12,6,2008-01-21 10:08:54,
12,12,2008-01-21 10:08:54,
12,42,2008-01-21 10:08:54,0.058
12,51,2008-01-21 10:08:54,
12,55,2008-01-21 10:08:54,0.273
12,60,2008-01-21 10:08:54,
12,63,2008-01-21 10:08:54,
68,11,2008-01-22 05:51:22,0
68,16,2008-01-22 05:51:22,
68,11,2008-01-22 05:53:18,0
68,16,2008-01-22 05:53:18,
68,11,2008-01-22 05:58:29,0
68,16,2008-01-22 05:58:29,
68,51,2008-01-22 05:58:29,
68,2,2008-01-23 07:20:07,0.812
68,15,2008-01-23 07:20:07,0.392
68,25,2008-01-23 07:20:07,
68,28,2008-01-23 07:20:07,
68,34,2008-01-23 07:20:07,
68,44,2008-01-23 07:20:07,0
68,46,2008-01-23 07:20:07,0.094
68,60,2008-01-23 07:20:07,0.375
68,77,2008-01-23 07:20:07,
16,11,2008-01-23 14:27:42,0.348
16,51,2008-01-23 14:27:42,0.04
16,11,2008-01-23 14:32:52,0.348
56,1,2008-01-26 06:27:29,0.005
56,27,2008-01-26 06:27:29,0.086
56,28,2008-01-26 06:27:29,0.096
56,34,2008-01-26 06:27:29,0.007
56,48,2008-01-26 06:27:29,0.118
56,70,2008-01-26 06:27:29,0.089
56,74,2008-01-26 06:27:29,
56,1,2008-01-26 06:32:40,0.005
56,27,2008-01-26 06:32:40,0.086
56,28,2008-01-26 06:32:40,0.096
56,29,2008-01-26 06:32:40,0.039
56,34,2008-01-26 06:32:40,0.007
56,48,2008-01-26 06:32:40,0.118
56,70,2008-01-26 06:32:40,0.089
56,74,2008-01-26 06:32:40,
56,1,2008-01-26 06:37:50,0.005
56,27,2008-01-26 06:37:50,0.086
56,28,2008-01-26 06:37:50,0.096
56,29,2008-01-26 06:37:50,0.039
56,34,2008-01-26 06:37:50,0.007
56,48,2008-01-26 06:37:50,0.118
56,70,2008-01-26 06:37:50,0.089
56,74,2008-01-26 06:37:50,
56,1,2008-01-26 06:43:00,0.005
56,27,2008-01-26 06:43:00,0.086
56,28,2008-01-26 06:43:00,0.096
56,29,2008-01-26 06:43:00,0.039
56,34,2008-01-26 06:43:00,0.007
56,70,2008-01-26 06:43:00,0.089
56,74,2008-01-26 06:43:00,
56,1,2008-01-26 06:48:13,0.005
56,27,2008-01-26 06:48:13,0.086
56,28,2008-01-26 06:48:13,0.096
56,29,2008-01-26 06:48:13,0.039
56,34,2008-01-26 06:48:13,0.007
56,48,2008-01-26 06:48:13,0.118
56,70,2008-01-26 06:48:13,0.089
56,71,2008-01-26 06:48:13,0
56,74,2008-01-26 06:48:13,
56,1,2008-01-26 06:53:23,0.005
56,27,2008-01-26 06:53:23,0.086
56,28,2008-01-26 06:53:23,0.096
56,29,2008-01-26 06:53:23,0.039
56,34,2008-01-26 06:53:23,0.007
56,48,2008-01-26 06:53:23,0.118
56,70,2008-01-26 06:53:23,0.089
56,71,2008-01-26 06:53:23,0
56,74,2008-01-26 06:53:23,
56,1,2008-01-26 06:58:33,0.005
56,27,2008-01-26 06:58:33,0.086
56,28,2008-01-26 06:58:33,0.096
56,29,2008-01-26 06:58:33,0.039
56,34,2008-01-26 06:58:33,0.007
56,48,2008-01-26 06:58:33,0.118
56,70,2008-01-26 06:58:33,0.089
56,71,2008-01-26 06:58:33,0
56,74,2008-01-26 06:58:33,
56,1,2008-01-26 07:03:43,0.005
56,27,2008-01-26 07:03:43,0.086
56,28,2008-01-26 07:03:43,0.096
56,34,2008-01-26 07:03:43,0.007
56,48,2008-01-26 07:03:43,0.118
